id,marca,modelo,año,moderno,cilindrada,estilo,combustible,transmisión,estado,kilometraje,puertas,pago impuesto,negociable,recibe vehículo,fecha ingreso,veces visto,comentarios,tiene imagen,precio,precio_sugerido,precio_sugerido_generico,difrencia generica
81877041,Mitsubishi,LANCER RALLIART,2007,Regular,"2,000 cc",Sedán,Gasolina,Automática/Dual,Excelente,100K-200K,4,SI,SI,NO,21 de Mayo del 2020,1566,"Vehículo en excelentes condiciones, muy económico, luces led",Si,4000000,0,4427435,0.09654235465907461
4599839,Daihatsu,DELTA,1992,Viejo,"2,800 cc",Camión 1.0-3.5 ton.,Diesel,Manual,Excelente,100K-200K,2,SI,NO,SI,11 de Junio del 2020,1593,Recibo Carros y Financiamos propio SETENTA por cientos del valor total,Si,4000000,0,4000000,0.0
34012808,Toyota,COROLLA,2006,Regular,"1,800 cc",Sedán,Gasolina,Manual,Muy Bueno,100K-200K,5,SI,SI,SI,17 de Junio del 2020,1155,Muy buen estado manual Y recibo,Si,4000000,0,4105729,0.025751577856210187
1957675,Nissan,VERSA,2013,Moderno,"1,600 cc",Sedán,Gasolina,Manual,Regular,200K-500K,4,SI,SI,NO,17 de Junio del 2020,1447,"Regular estado, precio de remate y negociable. Contiguo a la Gasolinera Delta Santo Domingo, Heredia",Si,4000000,0,4420000,0.09502262443438914
7956845,Kia,RIO,2011,Moderno,"1,400 cc",Sedán,Gasolina,Manual,Regular,100K-200K,4,SI,SI,NO,17 de Junio del 2020,420,"Regular estado, precio de remate y negociable. Contiguo a la Gasolinera Delta Santo Domingo, Heredia",Si,4000000,0,5397911,0.2589725914339825
47631250,Nissan,SENTRA B16,2008,Regular,"2,000 cc",Sedán,Gasolina,Manual,Excelente,<20K,4,SI,NO,NO,18 de Junio del 2020,841,,Si,4000000,0,3212500,-0.245136186770428
66224726,Peugeot,207 COMPACT,2011,Moderno,"1,400 cc",Sedán,Gasolina,Manual,Excelente,100K-200K,5,SI,SI,NO,18 de Junio del 2020,680,solo repuestos originales y mant de agencia unico dueño en el pais,Si,4000000,0,4400000,0.09090909090909091
95599014,Mercedes,Benz KOMPRESSOR C180,2002,Regular,"2,000 cc",Sedán,Gasolina,Manual,Excelente,100K-200K,5,SI,SI,NO,19 de Junio del 2020,1615,EXCELENTE ESTADO VENDO Y RECIVO CARRO AUTOMATICO Y VUELTO A MI FAVOR RTV Y MARCHAMO ESTA TODO AL DIA,Si,4000000,0,5761315,0.30571406007135526
95334396,Daihatsu,TERIOS,2004,Regular,"1,300 cc",Station Wagon,Gasolina,Manual,Muy Bueno,<20K,5,SI,NO,NO,19 de Junio del 2020,538,Recién paso rtv asi que de motor esta en todas,No,4000000,0,4000000,0.0
10878214,Kia,PICANTO,2014,Moderno,"1,200 cc",Hatchback,Gasolina,Manual,Excelente,50K-100K,4,SI,SI,NO,21 de Junio del 2020,1108,EXC ESTADO MUY CUIDADO SUPER ECONOMICO,Si,4000000,0,5507063,0.2736600253165798
45306603,Toyota,RAV4,2001,Regular,"2,000 cc",Todo Terreno 4x2,Gasolina,Manual,Muy Bueno,200K-500K,4,SI,NO,NO,24 de Junio del 2020,504,,No,4000000,0,4847864,0.17489434522090555
10210000,Hyundai,ELANTRA,2008,Regular,"2,000 cc",Sedán,Gasolina,Manual,Excelente,200K-500K,5,SI,SI,NO,24 de Junio del 2020,956,Rtv marchamo al dia solo por llamadas,Si,4000000,0,2682909,-0.490918998743528
37111392,Nissan,SENTRA B14,1998,Viejo,"1,600 cc",Sedán,Gasolina,Manual,Muy Bueno,100K-200K,4,SI,NO,NO,11 de Agosto del 2020,337,AROS ALARMA TAPCIERIA EN EXC CONDICIONES CARRO DE USO FAMILAR,Si,1450000,0,1830975,0.20807220196889636
48391732,Honda,CIVIC,1998,Viejo,"1,600 cc",Sedán,Gasolina,Manual,Muy Bueno,100K-200K,4,SI,SI,NO,13 de Agosto del 2020,231,Detalles de pintura ac no enfria al dia camina bien,Si,1450000,0,2005000,0.27680798004987534
89899936,Chevrolet,SPARK,1998,Viejo,800 cc,Hatchback,Gasolina,Manual,Muy Bueno,100K-200K,5,SI,SI,NO,13 de Agosto del 2020,28,,No,1490000,0,2590000,0.4247104247104247
82290095,Nissan,SENTRA B13,1994,Viejo,"1,600 cc",Sedán,Gasolina,Manual,Bueno,100K-200K,2,SI,SI,NO,04 de Noviembre del 2019,2577,SE VENDE O SE RECIBE CARRO,No,1500000,0,1830975,0.18076434686437554
97413089,Hyundai,ELANTRA,2000,Viejo,"2,000 cc",Sedán,Gasolina,Manual,Muy Bueno,200K-500K,4,NO,SI,NO,25 de Noviembre del 2019,8547,Urge vender por eso el precio detalles en mecánica y sistema de luces reparaciones menores,Si,1500000,0,1446052,-0.03730709545714815
97337215,Isuzu,RODEO,1995,Viejo,"2,600 cc",Todo Terreno 4x2,Gasolina,Manual,Muy Bueno,100K-200K,4,SI,SI,NO,25 de Mayo del 2020,2865,Marchamo al día-debe RTV-problema en alternador-camina bien y económico.,Si,1500000,0,2125000,0.29411764705882354
37335066,Daihatsu,F20,1978,Viejo,"1,600 cc",Todo Terreno 4x4,Gasolina,Manual,Regular,100K-200K,3,SI,SI,NO,18 de Junio del 2020,2821,"jEEP SEIS Pasajeros, aros,gasolina.Techo metal, mata burros.RTV proximo año.",Si,1500000,0,1950000,0.23076923076923078
19851170,Fiat,PALIO FIRE,2005,Regular,"1,200 cc",Hatchback,Gasolina,Manual,Excelente,100K-200K,2,SI,NO,NO,19 de Junio del 2020,1272,Muy económico excelente para viajar.,Si,1500000,0,2271500,0.3396434074400176
47430914,Kia,CARNIVAL,2002,Regular,"2,900 cc",Microbús/Minivan,Diesel,Manual,Bueno,100K-200K,4,NO,SI,NO,23 de Junio del 2020,2926,Tiene un problema eléctrico y no tiene pago el marchamo dos mil veinte.,Si,1500000,0,4241666,0.6463653668157747
88252086,Honda,CIVIC,1995,Viejo,"1,500 cc",Sedán,Gasolina,Manual,Bueno,200K-500K,2,SI,SI,NO,25 de Junio del 2020,864,,Si,1500000,0,2246093,0.3321736900475626
44937921,Chevrolet,CHEVY MONZA,2001,Regular,"1,600 cc",Sedán,Gasolina,Manual,Muy Bueno,100K-200K,4,SI,SI,NO,26 de Junio del 2020,557,Automóvil en excelente estado papeles al día pequeños detalles en pintura,No,1500000,0,2736000,0.4517543859649123
29358748,Jeep,GRAND CHEROKEE LAREDO,2000,Viejo,"4,000 cc",Todo Terreno 4x2,Gasolina,Automática/Dual,Bueno,100K-200K,5,SI,SI,NO,30 de Junio del 2020,1135,Se puede poner al día debe marchamo de este año y rtv.,No,1500000,0,1500000,0.0
32731681,Honda,CIVIC,1992,Viejo,"1,500 cc",Sedán,Gasolina,Manual,Excelente,100K-200K,4,SI,SI,NO,01 de Julio del 2020,1047,,Si,1500000,0,2005000,0.2518703241895262
40507641,Toyota,YARIS,2008,Regular,"1,600 cc",Sedán,Gasolina,Automática/Dual,Excelente,50K-100K,4,SI,SI,NO,26 de Junio del 2020,2846,Negociable,Si,4000000,0,4583648,0.12733263985367113
35895940,Mitsubishi,LANCER RALLIART,2008,Regular,"2,000 cc",Sedán,Gasolina,Automática/Dual,Excelente,200K-500K,4,SI,NO,NO,24 de Junio del 2020,936,,Si,4000000,0,3353214,-0.19288539293943066
66669630,Nissan,TIIDA,2013,Moderno,"1,600 cc",Sedán,Gasolina,Manual,Excelente,100K-200K,4,SI,NO,NO,25 de Junio del 2020,762,Vehículo en excelente estado aire acondicionado radio con pantalla dvd aros originales polarizado,Si,4000000,0,5140532,0.22187042119375971
