"id","marca","modelo","año","moderno","cilindrada","estilo","combustible","transmisión","estado","kilometraje","puertas","pago impuesto","negociable","recibe vehículo","fecha ingreso","veces visto","comentarios","tiene imagen","precio"
"38902229","Hyundai","TUCSON","2012","Moderno","2,000 cc","Todo Terreno 4x4","Diesel","Automática/Dual","Excelente","20K-50K","4","SI","SI","NO","31 de Julio del 2020","577","P/INSCRIBIR,FULL EXTRAS,BOTON D ARRANQUE,TECHO PANORAMICO,SENSORES DELATEROS Y TRASEROS,IMPECABLE,RT","Si","9000000"
"31776457","Honda","CIVIC SI","2013","Moderno","2,400 cc","Sedán","Gasolina","Manual","Excelente","50K-100K","4","SI","NO","NO","24 de Julio del 2020","454","Llantas nuevas mufla Nvida Intake K tuned","Si","9000000"
"75835744","Toyota","HILUX","2007","Regular","2,500 cc","Pickup 4x2","Diesel","Manual","Excelente","200K-500K","4","SI","NO","SI","28 de Julio del 2020","694","Excelente estado","Si","9000000"
"35743745","BMW","325I","2012","Moderno","2,500 cc","Sedán","Gasolina","Automática/Dual","Excelente","50K-100K","5","SI","SI","NO","28 de Julio del 2020","550","Vehículo en excelentes condiciones se vende por falta de uso cambios en el volante full extras.","Si","9000000"
"21680799","Mitsubishi","L200","2007","Regular","2,500 cc","Pickup 4x4","Diesel","Manual","Excelente","200K-500K","5","SI","SI","NO","28 de Julio del 2020","664","Precio negociable - Un solo dueño - defensa frontal y posterior - estribos y lona duraline p-batea","Si","9000000"
"46720448","Daihatsu","DELTA","2009","Regular","3,700 cc","Camión 4.0-4.5 ton.","Diesel","Manual","Excelente","100K-200K","2","SI","SI","SI","28 de Julio del 2020","207","Vehiculo en excelentes condiciones. Version full extras S. Se recibe vehicu. Negociable de Contado.","Si","9000000"
"88654940","Foton","TUNLAND","2013","Moderno","2,800 cc","Pickup 4x4","Diesel","Manual","Excelente","20K-50K","4","SI","SI","SI","30 de Julio del 2020","389","Motor Cummins muy poco kilometraje record de agencia.","Si","9000000"
"40610422","Mazda","BT50","2010","Regular","2,500 cc","Pickup 4x4","Diesel","Manual","Excelente","200K-500K","4","NO","SI","NO","30 de Julio del 2020","176","Carro en excelente estado Esta para inscribir","No","9000000"
"87974441","Hyundai","SANTA FE GL","2013","Moderno","2,400 cc","Todo Terreno 4x2","Gasolina","Manual","Excelente","50K-100K","5","SI","NO","NO","30 de Julio del 2020","222","","Si","9000000"
"81977305","Nissan","SENTRA ADVANCE","2017","Moderno","1,800 cc","Sedán","Gasolina","Manual","Excelente","20K-50K","4","SI","SI","NO","31 de Julio del 2020","195","GANGA! Advance! LED de Fabrica! Alfombras y Cola Original! Record de Agencia! NACIONAL!UNICO","Si","9000000"
